precision,recall,threshold
0.02427432542927228,1.0,5.897249057070097e-06
0.026959532323060333,1.0,6.214247461543723e-06
0.02739647018110509,1.0,9.69522411271404e-06
0.028436302681992338,1.0,1.153574116904139e-05
0.03097085479559236,1.0,1.161557401386677e-05
0.03326330532212885,1.0,1.7731396591673984e-05
0.03379099381091271,1.0,1.8360545998434646e-05
0.03466141272621132,1.0,2.1808310241426318e-05
0.035076059666223604,1.0,2.506766960777144e-05
0.03555921545141488,1.0,2.5693193575380276e-05
0.03676755166808576,1.0,2.8698042088548665e-05
0.03817714193859508,1.0,3.075019901713038e-05
0.04830181004677649,1.0,3.5903411529021504e-05
0.048798027532360795,1.0,3.720812443936901e-05
0.05061267980820458,1.0,3.9372372138266846e-05
0.05654088798952506,1.0,4.159070312213348e-05
0.056920311563810666,1.0,4.35255032709384e-05
0.057631642805144385,1.0,5.215574224321584e-05
0.05945675303542371,1.0,5.57661785432125e-05
0.061274509803921566,1.0,5.639390590239639e-05
0.061953828094430674,1.0,5.725146906158397e-05
0.06252468079505068,1.0,5.911625583735884e-05
0.06293057763645998,1.0,6.515059262265516e-05
0.06294725682480784,1.0,6.581746611873268e-05
0.026837324525185797,0.4105263157894737,7.154774237730904e-05
0.027734319442469065,0.4105263157894737,7.400615869968712e-05
0.02824449594438007,0.4105263157894737,8.518768708786955e-05
0.028651190126359093,0.4105263157894737,8.59624244075127e-05
0.029411764705882353,0.4105263157894737,9.421111545933945e-05
0.0303927680798005,0.4105263157894737,9.877235301471106e-05
0.0309622102254684,0.4105263157894737,9.907238947826621e-05
0.031492248062015504,0.4105263157894737,0.00010099312121612927
0.03205128205128205,0.4105263157894737,0.00010369407801788179
0.032543391188251,0.4105263157894737,0.00010583038967576421
0.03303964757709251,0.4105263157894737,0.00010593715278557195
0.03320279243997957,0.4105263157894737,0.00010720119895068459
0.033655505695547115,0.4105263157894737,0.00010722557865228317
0.030140308331889833,0.3663157894736842,0.00011004951745135279
0.030260869565217393,0.3663157894736842,0.00012028799401765658
0.030366492146596858,0.3663157894736842,0.00012109541031000393
0.03074748188725923,0.3663157894736842,0.0001225523696824786
0.03099946552645644,0.3663157894736842,0.0001239664067286654
0.031833150384193196,0.3663157894736842,0.00013294694590444768
0.034258712344949795,0.3663157894736842,0.00013601015920007082
0.035108958837772396,0.3663157894736842,0.0001371791095167694
0.03518705763397371,0.3663157894736842,0.00013971171021952852
0.035401831129196336,0.3663157894736842,0.0001415492429454725
0.03540903540903541,0.3663157894736842,0.0001433692805752371
0.03581720872787155,0.3663157894736842,0.0001433697058248068
0.03608461219411033,0.3663157894736842,0.00014749609324679256
0.036997661067403785,0.3663157894736842,0.0001494584005520449
0.03728305121062781,0.3663157894736842,0.00015537523553205214
0.03816626453169555,0.3663157894736842,0.0001593398262460929
0.03844454264250994,0.3663157894736842,0.00016009796995495362
0.03922452660054103,0.3663157894736842,0.00016064783460515854
0.03965360072926162,0.3663157894736842,0.00016067159453497464
0.04011989854738298,0.3663157894736842,0.00016674252471357464
0.04057835820895522,0.3663157894736842,0.00016891593356261936
0.04098939929328622,0.3663157894736842,0.000172312197933488
0.041320351460460696,0.3663157894736842,0.0001736093699656196
0.04198841698841699,0.3663157894736842,0.0001750510325339144
0.04204929917834703,0.3663157894736842,0.00018299050031629245
0.04257401517005138,0.3663157894736842,0.00018411233108369383
0.04329435182881314,0.3663157894736842,0.00018433588127359548
0.04340234472437017,0.3663157894736842,0.0001858059964821519
0.04344569288389513,0.3663157894736842,0.00018759670821026306
0.043961596766043456,0.3663157894736842,0.00019020360275225198
0.04399494310998736,0.3663157894736842,0.00019169596810693254
0.036196788172317106,0.29894736842105263,0.00019174034084191877
0.036739974126778784,0.29894736842105263,0.00019396685997220275
0.037114479874542604,0.29894736842105263,0.0001949477624382053
0.0376358335542009,0.29894736842105263,0.00019566243645589
0.03801874163319947,0.29894736842105263,0.000198015923525748
0.0384407146724418,0.29894736842105263,0.000203226130391935
0.03876603876603876,0.29894736842105263,0.00020545540450974363
0.0392156862745098,0.29894736842105263,0.000206684009684689
0.03933518005540166,0.29894736842105263,0.00021065893693888866
0.039943741209563996,0.29894736842105263,0.00021573696266877077
0.040226628895184136,0.29894736842105263,0.00021792027400948272
0.04091040046096226,0.29894736842105263,0.00021848520898659878
0.04112366058499855,0.29894736842105263,0.0002235985695357832
0.04141149023038787,0.29894736842105263,0.0002236405564358571
0.042149005639655686,0.29894736842105263,0.00023945403281154198
0.042706766917293235,0.29894736842105263,0.00024301577893032477
0.043239951278928136,0.29894736842105263,0.0002442778625317191
0.04370575561711296,0.29894736842105263,0.0002463855009724341
0.04407200496585972,0.29894736842105263,0.00024988964273877664
0.04441664060056303,0.29894736842105263,0.0002514542722315529
0.04450015669069257,0.29894736842105263,0.0002537046917757155
0.04490828589500316,0.29894736842105263,0.00025723442197221196
